,Unnamed: 0.1,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z,donor,sample,position_along_hipp_AP_axis,top_100,top_100_600,top_600_2700,top_2700_5k,top_5k_end,top_600,top_2700
0,19,4263,17,5707,CX,CA1,"CA1 field, right",1001646,77,89,116,19.5,-42.4,4.3,21.8763854439636,-42.36325962250329,4.71040157447649,10021,20,86,86.20572882181324,89.14582973553527,91.30404054461856,89.20695397196621,99.11764705882354,87.9874673851316,90.8998108354699
1,20,4264,17,5715,CX,CA2,"CA2 field, right",1001641,75,86,115,21.7,-41.2,7.7,23.89915152018869,-40.87905050008351,8.17652375258519,10021,21,86,87.11104570860194,91.26538418910269,87.13320312829222,86.97625320970306,99.11764705882354,89.38293731036174,87.372217647681
2,21,4265,17,5723,CX,CA3,"CA3 field, right",1001496,76,86,115,20.6,-41.2,7.7,22.7032247142092,-40.994059738762296,8.301460324065731,10021,22,86,85.26933421235634,84.66997984652379,83.80452326444302,83.33192414372142,99.11764705882354,83.62272634854884,83.57559297223698
3,22,4266,17,5731,CX,CA4,"CA4 field, right",1001475,76,87,115,20.6,-41.2,6.6,22.928778680352,-41.054804183158495,7.1418313847951,10021,23,86,86.53550865619732,87.57102655633246,85.54332388865859,86.04267487978461,99.11764705882354,87.30936929525717,85.9770222097787
4,23,4267,17,5739,CX,DG,"dentate gyrus, right",998739,75,87,115,21.8,-41.2,6.6,24.1153671122647,-40.9621189176104,7.018703969322621,10021,24,86,87.32366275980822,88.75817700765982,87.79770791019078,88.53756455069534,99.11764705882354,88.53988473145668,87.36428568696435
5,524,4258,13,5905,CX,DG,"dentate gyrus, left",1027911,119,104,92,-27.7,-17.6,-15.8,-30.0606350359133,-17.0080064110538,-17.8044033676114,10021,525,109,106.50048614237873,108.07789205456768,108.11131042814968,104.02777945830788,99.11764705882354,107.57457509082596,107.50960441887382
6,525,4257,13,5897,CX,CA4,"CA4 field, left",1029991,118,104,92,-26.6,-17.6,-15.8,-28.8096343532304,-17.1528906505442,-17.827364663501,10021,526,109,107.35239148309138,107.2416172610946,107.74621619235216,106.51552768766601,99.11764705882354,106.71832173386025,106.80206563825578
7,526,4255,13,5889,CX,CA2,"CA2 field, left",1027904,117,100,92,-25.5,-17.4,-11.1,-27.75552464784869,-17.6193227313503,-13.099762012605801,10021,527,107,106.65196566754425,107.71505190779784,108.10612494597872,109.25908029050498,99.11764705882354,107.58123802035298,107.43617849052809
8,527,4254,13,5881,CX,CA1,"CA1 field, left",1027902,122,106,91,-31.0,-16.7,-18.2,-33.6341148679169,-15.5689710607605,-20.3622306463433,10021,528,110,108.02745701758508,105.80722818365044,105.45834442499418,103.40212199522612,99.11764705882354,106.45381783069317,106.02948587674315
9,528,4251,13,5873,CX,S,"subiculum, left",1027901,114,109,91,-22.0,-16.6,-21.8,-23.591102156211505,-15.5657002662322,-23.6572108843748,10021,529,111,108.72906427448578,108.29664541730918,108.10363635475397,106.42818985432156,99.11764705882354,108.40279439067051,106.60709385942152
10,531,4258,15,5828,CX,DG,"dentate gyrus, left",1013074,117,97,108,-25.3,-34.7,-6.0,-28.284227630071697,-34.6420967357865,-7.79344620378316,10021,532,92,96.78702080110503,96.14073573380999,94.97427294122448,93.77034593497153,99.11764705882354,96.0001455787563,95.84427836040439
11,532,4257,15,5820,CX,CA4,"CA4 field, left",1013076,116,97,108,-24.2,-34.7,-6.0,-27.235160685939398,-34.3738572130365,-7.60124555636757,10021,533,92,94.72165146457377,95.77231344006941,94.41397840596663,94.62901614318426,99.11764705882354,95.2681901297423,94.49740201430498
12,533,4256,15,5812,CX,CA3,"CA3 field, left",1013075,118,97,108,-26.4,-34.8,-6.0,-29.333853241469694,-34.886643849321,-7.97516084423433,10021,534,93,94.25555226819641,96.4856294582513,96.28442980726678,96.73214453324725,99.11764705882354,95.93104298634734,95.950446539829
13,534,4254,15,5796,CX,CA1,"CA1 field, left",1013078,119,99,108,-27.5,-34.9,-8.3,-30.2078439609073,-34.9914082261943,-10.5390343008422,10021,535,93,92.58530690282052,94.17595737235098,97.09049016497347,94.13292173866459,99.11764705882354,93.68944024874284,95.30479606576733
14,535,4251,15,5788,CX,S,"subiculum, left",1013079,111,98,108,-18.6,-34.7,-7.1,-21.6633317617316,-33.5465043756204,-8.24955544830881,10021,536,93,92.26381910918816,93.9162370606274,94.60699305515892,94.81250925283211,99.11764705882354,95.37586206587511,98.50399152276472
15,538,4263,15,5772,CX,CA1,"CA1 field, right",1025433,73,100,105,24.0,-30.8,-9.7,26.2105291755412,-30.3310771019664,-10.817126570260902,10021,539,96,97.09890745824802,98.88195645041631,97.04643509178989,97.32913207812456,99.11764705882354,98.18703186340362,97.54743460386612
16,544,4267,15,5811,CX,DG,"dentate gyrus, right",1011787,75,97,105,21.7,-30.7,-6.2,23.4128125485144,-30.298052965631104,-7.60648415113929,10021,545,94,97.43578508080667,95.9932373260256,98.7546243110725,97.54824944337406,99.11764705882354,96.33230501967766,96.72419528668469
17,545,4266,15,5803,CX,CA4,"CA4 field, right",1011834,74,98,105,22.9,-30.7,-7.4,24.6988474370733,-30.219962037119604,-8.589005659911692,10021,546,95,96.020788867946,97.71170628938977,95.7833292549724,96.99129717656173,99.11764705882354,97.28081996723168,96.20245027371215
18,546,4265,15,5795,CX,CA3,"CA3 field, right",1011789,72,98,105,25.1,-30.7,-7.4,27.076019779894896,-30.1593164001575,-8.53988342125017,10021,547,94,97.28916019139568,98.03406075535048,98.9391040112471,98.78409955277962,99.11764705882354,98.80642322316075,98.60415774380972
19,547,4264,15,5857,CX,CA2,"CA2 field, right",1011790,69,98,105,28.5,-30.6,-7.4,30.8623778911378,-30.2686817282312,-8.72433620504084,10021,548,95,98.63162739551964,96.54508727389471,96.69293805349862,99.59851781853561,99.11764705882354,96.94671846938478,97.00821541556446
20,548,4263,15,5787,CX,CA1,"CA1 field, right",1011791,74,100,105,22.9,-30.8,-9.7,25.059511945552,-30.2617582986963,-10.6953406786101,10021,549,96,99.47499966241138,98.34379746722648,98.71184785857689,99.13637649955558,99.11764705882354,98.74095903397196,98.7874515740494
